0,1,2,3
0.8453623,1.4453135,-0.0226519,0.79375255
-1.4190297,-0.78441817,1.536239,-0.32305628
0.51738757,1.0528809,-1.0915574,-1.1351203
-1.7880328,0.72174096,-0.3657647,-0.5600023
-0.87705934,1.8369671,-1.2272953,0.19035985
-0.33421224,0.04253854,0.77550685,0.044368643
-1.4251928,-0.7503146,1.4119381,-0.3618475
0.49790153,0.84049284,-0.48506835,-0.9230314
1.201975,0.33929253,0.44423273,-1.3103989
-0.43347716,2.834945,-0.4449192,-0.23542665
0.022875478,1.1774894,2.3108108,-1.0632303
-0.17119598,-0.8385658,0.37666956,-0.75817484
0.71768403,0.91476995,-0.56138974,-1.1266433
-1.5966406,1.7101091,0.6599175,1.4751701
-0.25864604,-0.46726108,1.9373713,0.09235239
-1.677076,1.2441595,1.6431937,1.2384675
0.36288708,-1.9286857,0.7258144,-1.3900826
-2.0755641,2.4345562,0.33211565,1.80474
-2.4158657,0.009047944,0.2023979,-0.5280404
-0.88493896,1.486054,-0.7534378,-0.13756198
-0.9238376,1.4622462,-0.71329844,-0.035409745
-0.11503827,1.4725119,1.0688425,-0.54567945
-1.3496975,0.3791911,3.043134,1.7310613
-1.6933409,-0.9457956,1.5948533,-0.49552608
1.3190316,-0.4177574,1.4572387,-1.1521333
1.3434618,1.3696375,0.4872546,0.7991518
-1.0270438,0.25096637,2.0279417,0.792417
-0.03869857,1.7369958,1.3780996,-0.8313663
0.13655879,0.9765549,1.6119493,-0.76288855
0.29427683,0.84587985,3.2082102,-1.2522577
1.789867,-0.7012092,1.7931327,-1.7058588
-2.9118118,0.82565516,-1.0530976,-0.13965014
-0.08793971,1.3191547,1.8197391,-0.8770172
-0.6423344,0.41213945,-1.5858842,0.2505709
-0.354885,0.072543144,0.7841712,-0.19710526
-0.13018847,-1.142481,0.65163994,-0.7577389
0.2007972,1.8209478,1.5219896,-1.1198199
-0.012263031,-1.0852557,0.4010885,-1.062379
-1.8097968,0.56545067,-0.27085572,-0.4674636
-0.94167423,0.093570344,2.5562432,1.3538883
-0.8895545,1.5032834,-0.8444046,0.048525672
-1.0716997,0.030649928,3.0455809,1.7278868
-1.9892347,-0.35419768,0.7815798,-0.78817594
-1.4485446,-0.2858863,0.749646,-0.60118383
-0.061882693,1.5312665,1.8930413,-1.0209422
-0.29404113,-0.37349424,-0.68414444,-0.516883
-0.46402174,0.17736477,0.69606304,-0.16740824
0.83662504,0.41359797,0.2650607,-1.0655524
-1.7802955,1.3650761,1.2723873,1.1788166
-0.2148023,-0.4237252,-0.42566866,-0.7222402
-1.4461547,1.465021,0.4440042,1.0744992
1.1431032,-0.031267647,0.7792343,-1.1427103
-2.4087207,0.7234366,-0.6373413,-0.33308113
-2.134034,-1.3949411,2.1898005,-0.33303136
-1.9740317,-0.07532071,0.35406172,-0.49076366
1.5393263,0.842452,1.4414288,0.84496486
0.2822281,1.3768017,2.465432,-1.468224
-0.19868329,-0.43597782,1.7743809,-0.024400547
-0.098417096,-1.6051283,1.7649343,-0.8439341
-1.9154752,-0.086412355,0.57735306,-0.5983959
-1.1134821,-1.4535923,2.2697458,-0.43042296
-0.98217076,0.2718053,2.051503,0.9545575
1.0865763,1.937965,-0.43431926,0.68023777
-1.6474649,0.22104564,-0.048138402,-0.54681724
-1.7979413,0.020197561,0.32760754,-0.70249987
0.70274013,1.8704915,-0.586923,0.6053647
1.222217,-1.0069159,2.3150003,-0.82014215
-0.13894548,-0.4639092,1.9174454,0.13692006
-1.7304754,-1.1072254,1.896206,-0.21578598
-0.16910627,1.0875888,2.3078942,-0.9539145
-1.6876364,-0.69741935,1.2969661,-0.33102795
-0.5111579,0.44084302,0.30257228,-0.33448547
-1.7926861,1.5492764,0.9458781,1.2559918
-0.32161084,-0.3943237,-0.43950748,-0.605207
1.3987368,0.046281796,2.5317829,0.46459433
1.8906331,1.8126081,0.5313014,1.0801412
-1.6416787,-1.3682959,2.1853812,-0.3685486
1.1479597,0.078076065,0.5845732,-1.2604928
-0.8686814,0.016424436,2.500312,1.4223629
-1.6128093,-0.52734655,1.1703473,-0.6247229
-0.2450809,-0.50108486,1.6282883,0.08544697
-1.588494,0.1718952,0.19061816,-0.48865908
-0.4434393,0.17670482,0.7168281,-0.25339553
-2.0564837,2.37906,0.5607446,1.878401
1.4502107,0.8243004,-0.006831117,-1.57944
0.033701777,0.99398273,1.683938,-0.71695364
-1.3175523,0.41679817,2.6795342,1.5148952
-0.047175296,-0.9546611,0.14411156,-1.166987
1.0123491,-0.55314523,1.5571005,-1.0141567
0.8871446,1.5477513,-0.13807456,0.7603995
-0.11798028,-0.872231,0.43364662,-0.78413403
