0,1,2,3,4,5,6,7
0.86811703,-0.20839888,-0.84899324,0.6970002,-1.2438941,0.7528956,0.080455005,-0.8199432
1.7745568,-0.027123598,-0.3760613,0.49858326,-0.22079644,-0.13871825,0.0903036,-0.07168001
1.1810077,1.2573375,-0.4304169,-0.66094124,0.011554837,-0.5440464,-0.37609792,0.34362575
-0.6663724,0.5939882,-0.98519826,-0.79697114,-0.8618951,-0.85990626,-0.31925344,0.3366881
-1.1595516,0.8569203,1.1573275,0.19813497,0.20051715,0.292357,0.3221228,-0.6086783
-0.61164945,-0.90197253,0.21699071,-1.9527228,0.49255064,0.7188247,0.7084112,-0.041156113
-0.38393936,2.6870775,0.6334834,-0.016934961,-0.6599805,-1.0419353,-0.5369837,0.88364893
-1.7972296,1.1828147,0.3347851,-0.17989422,1.4389666,-2.4682014,-0.9527213,-0.09388893
-0.023440748,0.35728365,0.2961003,-0.09559716,-0.5503143,-1.920293,0.30138826,0.77310264
-0.70554835,0.93938494,-0.5208921,0.086048685,0.5942622,-0.7832911,1.4718935,-0.22395995
-1.0589448,-0.12859073,0.22335215,0.6082251,0.55159605,-1.2907065,0.33395278,0.9372485
-1.620798,0.5639555,-0.82800066,-0.9396922,0.13509558,-1.1165651,0.78385663,-0.73046243
0.5252336,-0.18571034,0.023379626,-1.4297112,1.8867468,-0.35463774,1.0175941,0.27615413
-0.6322201,0.4123395,0.8783211,-0.22860073,-0.50526774,-0.4068979,-0.09575541,-1.6589831
1.2098396,-1.3699328,0.08656666,-2.0380135,-0.85450256,0.12895322,0.13412201,0.04109778
-0.43543345,-0.27538222,-0.83724535,-2.077845,0.5292281,0.17570964,0.14912528,0.6779661
2.4656749,2.0934143,-1.0705591,0.5406147,-0.71891165,1.6885097,-0.6489134,-0.13901493
0.4690773,-0.04544435,-0.2556502,-0.21708281,-0.89266646,1.0794024,-1.2880816,0.41167578
0.024491444,0.11886237,-0.032593668,-0.1107124,0.19791129,0.59636635,-0.63606924,0.5268574
0.18344614,-1.5189617,-2.1378658,0.08188826,0.95523703,0.78146285,-0.87175816,0.291985
1.789347,-0.38480026,0.92134285,-0.13644966,-0.9849715,0.4005356,-0.47846645,-1.1653591
-1.778496,-1.3934369,0.23469883,0.55840945,-0.82960105,-0.3926319,1.7881119,-2.6348515
-1.032794,1.5315281,-1.1993531,0.85144687,0.08907364,0.4838605,0.51441795,-0.5164267
-1.2119341,2.1622078,0.596129,-0.72383016,-0.6438978,0.0068503954,0.8370881,0.07495266
2.5359056,0.8288121,1.0281767,0.028743573,-0.48234418,-1.431447,-0.8485627,1.0235164
1.1685573,1.9118251,-0.7328596,-0.27159998,0.08239114,0.027560279,0.18035382,-1.2223878
2.0978765,2.2992456,-0.8291288,-2.0638866,0.91941386,0.7807655,0.20506126,-0.31650928
-0.9429023,0.29133797,0.25213197,0.25539765,0.446245,1.1104981,-0.5494752,-0.7859382
-0.78380907,-1.4672892,0.8325693,1.6733848,0.6237153,0.45042774,1.0873138,-0.48579904
0.06967914,1.0446379,-0.38890773,-1.2287974,-0.364089,-1.1678573,1.4767448,1.1330459
1.1248006,0.09457131,-0.0136910975,1.4349571,-1.8870893,-0.24529438,2.2396653,0.24233949
2.1658957,0.03423214,0.7968526,0.34518033,0.070758864,-0.491941,1.283417,-1.5369923
0.24174565,0.27315107,-0.51533556,-0.123288214,0.016253099,0.6940302,1.0123098,-0.8814055
1.326323,-0.076764286,-1.4142731,-2.6862307,0.55689704,-0.92336047,0.08718792,0.4381853
