0,1,2,3
1.1813841,0.23125687,-0.10745079,-0.008912981
0.32505733,2.39554,-1.3601652,-0.05228764
1.8762915,0.5748583,1.0209961,0.05555351
1.3269341,-0.8568368,-0.3940665,0.22683951
0.65655375,1.2638304,-1.6466602,-0.6852012
0.7537357,-0.7680259,0.45297134,-0.05142539
0.8258317,-0.06469928,-1.2734766,1.1568764
0.3665796,1.9371539,-1.3330531,-0.3798816
0.94895226,1.1462426,-0.89016163,-0.6878167
1.3031964,-0.28917986,0.33766305,1.5425894
1.8219103,0.9813273,0.83401906,0.16844197
0.3106016,-0.38937753,-1.0615164,1.3312451
-0.1957229,-0.48288897,0.045554142,1.5730705
-0.05848916,-0.24972944,-1.5725621,2.0148497
1.2323791,-1.2346965,-0.6821108,0.021078363
1.0760715,0.25775173,1.2938932,0.74379575
1.0574727,0.4101691,1.0912383,0.11703844
0.7914508,-0.10014255,-1.1038888,1.0718735
0.42652613,-1.5656472,-1.0921584,-0.045825347
1.3972274,1.0557306,0.47168583,1.8951166
1.4812506,0.9411492,0.4658626,1.5317565
1.0563972,-0.13635147,0.011852026,1.504416
-1.9247944,-1.835428,-1.860926,2.3425207
1.0000868,0.3959176,-0.17061,-0.8798932
1.0319395,0.41606382,1.0589743,0.039184034
0.91030115,-1.3967706,-0.5528308,-0.31855643
0.097270295,1.8246635,-1.5400321,-0.43116224
0.06372467,-0.21216848,-1.4560182,1.7728493
1.1202978,-0.06645636,0.17864802,1.5516756
1.5020077,-0.064694285,-0.2634489,0.53785884
0.32736933,-0.44018805,-0.69989955,-1.26109
-2.6613503,0.21397878,0.67686105,2.0802011
1.2956333,0.26701176,0.32592016,1.4452764
0.04249411,0.763047,-0.43305638,-0.41452718
1.7032982,0.812042,0.7412809,0.32533437
0.90759134,-0.018558204,-0.7820517,0.71986145
1.4301648,0.40077657,0.74750185,0.32088125
1.8465997,1.0017583,0.87382734,0.14232212
0.9069866,0.31747913,-0.97558635,0.8063926
1.3310971,1.0133872,1.4160635,0.18860537
0.13884425,-0.37786886,-0.3761173,1.1825461
1.3806155,0.8548184,0.6335186,1.7971815
1.117894,0.5438838,-0.8789933,0.53827715
0.37586305,1.8708614,-1.4522133,-0.49950194
-0.39185357,-1.6491338,0.64413804,0.5240427
1.12491,0.9140462,-0.35085285,-1.155493
-0.232878,0.69969165,-0.5150056,-0.2092875
-0.6405521,-1.0585921,0.7026644,-0.06149295
0.7225006,0.41879594,0.086333826,-0.45496354
0.715412,0.43221587,-1.3565295,0.6797055
0.787602,-0.44572404,-0.06623325,0.0064746216
0.37701187,0.49151978,-0.17874742,-0.32435536
0.6794612,1.0452358,-1.571782,-0.32110623
0.2613683,-0.28609923,-1.4879248,-0.68846667
0.08052266,-2.5494592,2.4605982,0.6328031
-1.037943,-1.6587005,-1.3421187,2.4902894
1.0176405,-0.027226098,-0.52090985,-0.26962176
0.84189796,-1.1864475,0.37902808,-0.4606056
0.9743675,-1.1894736,-0.73578346,0.08387117
1.0727329,0.20306939,-1.4873072,1.4461039
1.0111524,0.5181268,1.0774705,0.17776932
0.88294065,0.6712908,-0.26405317,-1.0104262
-1.3426241,-0.9617392,-0.06728767,2.1395805
1.3450882,-0.027967952,0.092482336,0.8635213
-0.73671937,-1.6622747,0.9942965,0.43167531
0.9309119,0.6731546,-1.1674008,0.8702448
0.7297267,-0.3435317,0.0014967322,0.32853413
0.2042234,-0.30627945,-1.8552566,-0.5559181
0.94053954,1.0290202,-0.12727815,-1.1068141
1.2615786,0.4336461,0.5444297,0.24432151
1.5098028,0.49737266,1.4343114,0.2771785
0.9288888,0.29481053,-0.92003775,0.64856213
0.91926765,-0.25646815,1.0472181,0.29648617
0.6054695,-0.15915972,-0.9506181,1.4674332
0.9409254,-1.0371506,-1.0314221,-0.330979
0.3197744,-0.41673005,-1.1437813,-0.74940467
-0.40560308,1.2723222,-0.197056,0.42731404
1.483042,-0.97790384,-0.46382713,0.37644154
0.6340592,0.33699393,0.10170078,-0.3553699
0.70182395,-1.3426442,-0.21342804,-0.33084083
1.108901,0.31038523,-1.1856546,0.86278373
1.1956716,-0.24374765,-0.45558816,-0.3797899
1.6454954,0.40576684,0.6068281,1.4884459
0.91341615,-0.08636609,-0.68172485,-0.86576134
1.2844434,0.13073763,0.44942984,1.2057896
0.6410739,-1.2044518,-0.41344023,-0.2554498
0.29152435,-0.45743486,-1.1338565,-0.48512378
0.8161195,-1.6303968,-0.7662453,-0.6398967
0.028337967,-1.6068333,-1.4837369,-0.12520355
0.47668588,0.73951393,-0.20804623,-0.2826054
0.86926264,-0.053571627,-0.55063015,-0.3985367
0.8861643,-1.436228,-1.4579033,-0.11641691
0.9939106,-1.0113254,-0.5907843,-0.22568427
1.2695765,0.2564224,0.49215654,1.5437363
0.48840013,0.24304,-1.2474233,1.4427049
1.7176182,0.5105247,0.8108631,-1.1444281
1.3650376,0.24824268,-1.0974536,0.8624642
0.402727,0.20056604,0.2411798,1.0054694
-0.05011224,1.0161732,-0.32487118,0.14044096
0.8117564,-0.37583363,0.15941265,1.1328025
1.0192226,-1.662904,-0.90675807,-0.4366498
0.84527814,0.1787064,0.04530403,-1.4780753
1.1342876,-0.2840394,-0.19182594,0.119944885
1.0747049,-0.43033478,0.13134068,-1.0348668
1.4193269,-0.09063935,-0.011602238,0.34848008
0.87886953,0.16163547,0.70369613,0.37723607
1.1515231,0.17651775,0.07066229,0.7184999
-0.36788243,0.83603954,-0.5037595,0.036965143
1.0209483,-1.6386598,-0.8993378,-0.07881288
-0.20042488,1.216874,-0.27961662,0.26155472
0.6236819,-0.78293747,0.5912702,0.106178716
0.15816188,-0.18781789,-1.275351,1.4068887
0.5554994,-0.19166407,-0.9349222,1.2723225
0.2673736,1.8429126,-1.7430736,-0.58866906
0.427549,-1.6671921,-1.1148684,-0.55432904
0.6311133,0.49873915,-1.011735,1.0274619
1.3137248,1.0918491,0.43853754,1.4932426
0.48120317,0.31786662,-0.23163804,-0.2522515
0.34016135,-0.22795075,-1.6597244,-0.24253084
0.5483994,-0.28088158,-1.2124912,1.5310813
0.90973353,-0.76521534,0.33120692,-0.0041834414
0.5211993,-0.7727913,-0.39686722,-1.3950925
1.0468678,0.3036034,-0.10730997,-0.055668727
-0.11456397,-1.6758524,-1.4122518,-0.2685889
1.1039656,-0.16042818,1.1281778,0.30891892
1.4495178,2.6608984,-0.8950001,0.19446951
0.9530353,-0.2691942,-0.5780797,-0.52102673
1.1196831,-0.22552164,1.0749828,0.44267514
-0.13134436,0.64958376,-0.25492746,-0.6083318
1.0188148,-0.4684013,-0.31108463,0.18620998
0.9390408,-0.54118913,-0.13521138,-0.47901738
0.889988,0.6127695,1.6539361,0.49564123
1.1985828,0.808962,0.41790855,1.9480553
0.44996762,0.1614182,0.35832793,-0.8251425
0.9132671,0.029337317,-1.2111068,0.68508095
0.2669654,0.033304527,-1.1415112,1.6205435
1.0328239,0.16067724,0.08799772,-0.33387163
0.90460384,-0.5963746,0.33054554,1.2338289
-0.10007875,0.86819375,-0.25711673,0.18792501
0.80191374,1.0681573,-1.0593024,-0.953689
0.811345,0.20064107,0.30807707,0.7326321
1.101911,3.819051,0.11064845,-0.20240214
1.0501665,0.19346756,0.14662057,0.91946375
1.1121868,-0.2076281,0.3417709,1.4340588
0.77636397,1.091244,-1.4539354,-0.40749583
1.2390794,0.08878091,-1.2051477,0.617737
0.9678659,-0.051767096,0.05412315,1.1049038
1.2651911,1.0900178,1.5850092,0.3520329
0.48525766,0.38256267,1.6844968,0.46089742
0.9936557,-0.19051869,0.80684954,0.37126946
1.0283469,0.03674826,-1.1016786,0.75943834
-0.032589406,0.67511266,-0.19292054,-0.7012133
0.40822488,-0.14065611,-1.290416,1.5217155
1.029542,0.51016814,1.7877102,0.47490808
0.8914154,-0.40144604,-0.8111247,-0.52654886
1.449686,0.17964298,0.046284348,1.2061933
0.7837856,0.47020298,-1.0334525,0.48276523
1.3868127,0.68005,1.5370924,0.3441491
1.8482189,0.769795,0.12611087,-0.7457576
0.7057765,-0.11135344,-0.4631272,-0.6037852
1.0082593,0.5112247,-1.2934846,1.2613212
0.5803826,-1.9109117,-0.38209212,-0.67770106
0.2578609,-1.5182078,-1.2271726,0.07712959
0.75378674,0.24356982,0.5635103,-0.5647896
0.57816947,0.33318353,0.045829915,-0.22978207
0.8108065,-0.55439126,0.20099545,-0.81769127
0.79527414,1.2840394,-1.799951,-0.67333764
0.19236958,-0.31307143,0.41401497,1.6577395
2.0378256,0.69947857,1.261348,0.30407298
0.28913257,0.57507676,0.67457086,-1.6345563
0.21491344,0.6974893,-0.16678992,-0.26969403
0.8886523,0.8187682,-1.2469896,-0.7456318
0.5728406,0.0066824555,-1.285269,1.1285322
1.4234674,0.6530297,0.052622207,-0.8173183
0.17600127,0.50793785,-0.23471555,-0.57878006
-0.04862468,0.8538976,-0.38224834,0.046470597
0.39152116,-0.30274987,-1.3005079,1.2958868
1.2242788,0.92994326,-0.5285234,-0.94850606
0.799495,0.40294582,0.0010272916,-0.29895723
0.5039846,0.56193125,0.1793459,-0.369435
-0.08439411,-0.17362878,-1.7718041,-0.569729
0.33652315,1.1787854,-1.4827694,-0.9631136
1.3556564,0.13665882,-1.19941,0.8432207
1.0045742,0.13149756,-1.2359579,1.0669638
0.17064857,-0.24439423,0.32589507,1.6670237
-0.21179458,0.9245339,-0.4083212,-0.07053511
0.99789894,0.08572532,1.2084731,0.6030899
-1.409955,0.90681016,3.0184991,1.7446764
1.1959791,-0.12637198,0.14980955,0.67656237
0.8290627,0.55325663,-1.1580698,0.95572436
0.6016823,-0.38779423,-0.8965024,-0.68679136
0.8735365,0.19286023,0.43631023,-0.3354435
1.1419911,0.022574395,0.3754585,1.1519876
1.1828985,0.41387704,0.6718852,0.06687918
1.0685151,-0.32349497,0.18510318,-0.87121874
0.3038406,0.65160054,-0.2597967,-0.31333226
1.483283,0.018476963,-0.998219,0.74590766
-0.21535216,-3.2788734,1.0402904,-0.0641679
0.9392675,-0.16213742,1.2507294,0.557263
1.5970635,0.6918818,1.0736533,0.3440804
1.1037573,0.8190601,-0.14314573,-1.3606341
0.7836151,-0.13077854,0.9869295,0.1683248
-0.126883,0.74142146,-0.47854137,-0.047085136
0.5957351,0.01434873,-1.5429533,1.6848375
0.40470865,-0.07705937,-1.0088638,1.1851225
0.5774849,-1.8084166,-1.0663426,-0.46139345
0.52920985,0.17613737,-1.1324757,0.9909169
1.4501417,0.44745657,-0.17081043,-0.7595021
-0.13185257,-0.6112976,0.83007145,-0.29485273
0.75287616,0.484296,-0.98893774,0.9093608
0.44936413,0.5709568,-0.07580195,-0.5826571
1.2671256,-1.3702356,-1.1262133,-0.1271917
-0.076794446,0.91598827,-0.32941407,0.029124051
0.9908686,-0.36535642,-0.9155572,-0.25890124
1.302673,0.6816741,-1.4480777,0.6852724
0.7209451,1.5642886,-1.4124477,-0.60566217
0.17992002,-0.004174933,0.29969472,1.5069315
1.3211741,0.4451791,-1.3630196,0.7261308
1.0511643,3.1158738,-0.11437091,0.03725436
0.947395,-0.30380195,-0.8276693,-0.5875237
1.641359,0.63433474,-0.12624665,-0.60027415
0.51871705,1.9146814,-1.4072483,-0.26669562
0.6767459,0.41776302,0.02580592,-0.33809298
1.2984647,0.5538932,-0.11639005,0.7806191
0.51436853,0.44194096,0.053110417,-0.28585714
-0.1916449,0.13266432,0.7369403,-1.5697842
1.9635715,0.7330904,0.75261223,0.16885282
0.24124888,0.54417366,0.0040361937,-0.76843333
1.0398065,0.3887358,-0.16923894,-0.696318
0.97484887,-0.6868647,-0.6678267,0.4097177
0.5714787,0.024894033,-1.0696615,1.0231943
1.7720846,0.72068554,-0.19829422,-0.51248765
0.74183035,0.06307343,-1.1045961,0.7915473
0.6856895,-0.568895,-0.08191013,1.0294538
1.4297843,0.98983765,0.7427591,1.7289202
0.513765,-0.21420929,-1.0323323,1.6884061
1.3519185,0.7134913,0.15200153,-0.91936165
0.71080285,0.2870177,-1.2216098,1.4096235
1.0495512,0.29872847,-1.4652543,0.6857208
0.72993886,-0.7326684,0.105023846,-0.47956184
1.4505471,0.27746275,0.22547494,-0.397718
1.0050045,-1.0378667,0.5726772,-0.09206848
0.8877551,-0.6943874,-0.16479738,0.084681526
1.6292908,0.39887598,0.2798202,1.2940971
0.36023736,-1.6208391,-1.2563943,-0.24889559
0.112879165,-0.31882307,0.85215497,-0.77657634
0.86829156,0.4336637,-1.3646892,0.8923662
1.1511159,-0.4048215,0.14852133,-0.43870994
0.4742692,-0.07729824,-1.3375869,1.7659931
1.59853,0.42899084,0.013625912,0.70676273
1.4956174,0.6863424,-0.19214466,-0.84840524
1.0861461,0.12988311,1.2635312,0.7227276
1.073636,-0.07999016,-0.228975,-0.22744012
1.0157936,0.7213216,0.120436355,-0.9714484
0.10272378,3.309103,1.2100282,-1.6505911
1.2146939,-0.11697546,0.14786263,0.8565964
1.1910405,-0.25140965,0.28475899,0.72484595
0.8434999,0.05127112,0.41054675,-0.103984624
1.041435,-0.7188612,-0.49005765,0.31444556
0.56065434,-0.9699363,0.5999875,0.085732535
1.3495774,0.55711555,0.3993755,1.5237988
0.94685423,-0.14550363,-0.6052526,-0.15456656
1.0446007,0.9381797,-0.18197137,-0.81038994
0.78096104,0.65679497,0.7741889,2.0975223
-0.7021266,-1.393503,0.79553884,0.76784116
1.3267913,0.41156948,0.70141846,2.1732867
1.3312231,0.5419803,0.45461345,1.4425467
0.7820264,0.8330372,-1.0503167,-0.8434638
0.8850267,0.07031257,0.010092154,0.6030404
0.6750661,0.5288241,0.12879016,-0.32608855
0.36986652,-0.010259256,-1.137723,1.6702546
2.0774345,0.5221017,0.21490696,0.9847587
0.73488647,-0.24494916,0.2647662,1.2865468
0.6668862,0.50061506,1.6850922,0.4692856
-0.6104761,-0.5626871,1.4794446,0.65865403
-0.15345034,0.97619677,-0.25797924,0.44636637
0.6768956,-1.3284655,-1.1237022,0.04729043
0.12778555,-0.398671,0.89712447,-0.38588136
-0.19549733,-3.0860198,1.2772219,0.5899689
0.75555557,0.4001199,-1.1186767,1.0128887
0.595165,0.04783228,0.652645,1.6810558
0.5970003,1.0175153,-0.8755156,-1.4172534
0.2123622,2.3175979,-1.4175649,-0.36906415
0.9465842,0.19764301,1.2785099,0.45265663
0.40415242,1.274528,-1.3090767,-1.1874706
1.6764921,1.0298914,0.85514796,0.3736133
0.7449646,0.5757728,-0.8293127,0.5339928
0.8206607,0.31911427,-0.9019713,0.5551921
0.3571035,-0.22231622,-0.96864855,-0.42978823
0.38874352,-0.42111415,-0.6842031,-1.4678748
0.5515347,-1.6609205,-1.1125948,-0.26534417
1.1041613,0.8260671,-0.0024238229,-1.1389184
0.88924176,0.06023565,0.70940125,0.22701961
-1.1371667,0.63223815,2.9259949,2.1245914
0.48647854,-1.6338488,-1.3978015,-0.2338277
1.3617073,-0.10972836,0.61639583,0.05469007
0.52424896,-1.2678404,-0.0966764,-0.26366356
1.5375614,0.8010946,0.32463217,1.5785722
1.5166804,0.20879824,0.82381415,-0.111354575
0.57500553,1.1651032,-1.5761241,-0.9089627
0.6620845,0.45278794,0.20242104,-0.34479567
1.6020331,0.14957121,1.204908,0.441314
1.1011124,0.9357481,-0.33455783,-1.3197956
0.80130976,0.44514903,0.24012986,-0.21580951
0.36162174,-0.38713843,-1.3176914,-0.5259097
0.9567524,-1.0482018,-1.0138268,-0.5598311
0.4766564,-0.12857333,-0.6322502,-0.36983615
1.2515281,-0.35164326,-0.30378196,0.29175803
1.2658731,1.0071828,-0.2606129,-0.6364652
1.0381314,0.6265534,1.6848316,0.48116326
1.2096878,-0.81583786,-0.3381403,0.20512882
1.1765466,-0.31600907,-0.43462932,-0.3564491
0.82367516,0.42626384,-1.4772388,0.9565343
1.0772303,0.22603092,1.2225666,0.620503
-0.7669799,-1.4519464,0.9680025,1.4319546
1.470824,-0.62299305,0.4388414,0.23248306
0.6787416,1.0849831,-0.34927163,-0.78108984
0.6808257,0.51493484,0.10623887,-0.24527252
-0.64551556,-0.15095522,1.287599,1.0944624
0.98801696,-0.5349481,0.13729289,0.13312255
0.8866391,-0.035372887,-0.15556134,0.3562487
0.6847986,-1.6063694,-1.1825937,-0.329834
0.04948602,-0.11788426,-1.3817581,1.6405715
0.5639646,1.52917,-1.7807119,-0.3530658
-0.12810439,0.8151501,-0.0866302,-0.84168863
0.059774194,0.92187005,-0.518048,-0.20509145
1.3030821,0.2432831,-0.009419717,0.85537994
0.98867965,-0.47645104,0.29772532,1.143565
1.4577005,2.6648698,-0.578381,0.3374854
0.6754698,0.44151962,-0.9415487,0.8352471
0.6085963,-0.24711543,-1.5140272,1.2851573
1.1353741,-0.32114583,0.71241516,0.46712068
-0.7818875,-1.683653,1.0897793,0.4400549
1.7173018,0.77978146,1.1056647,0.1675292
1.378496,0.23215905,0.59464854,0.094868146
0.41984022,-1.3520845,-1.085399,-0.09158865
0.38825923,1.3902504,-1.7760845,-0.67981267
0.33724803,0.13795546,1.010245,2.132062
0.9865677,0.027569838,0.119605064,-0.20308019
0.7979065,0.19841799,-1.5243723,0.9438989
1.1973473,-0.57556695,-0.44249645,0.50362587
0.096776225,-1.9679629,2.1223922,0.9424878
0.89547753,-0.30732095,0.14915876,1.0781175
0.26880297,-0.22405514,0.87730134,-0.8541812
0.07610182,-1.6409205,-1.2427955,-0.34327537
0.84620863,0.64765495,0.27340582,-0.11346139
-0.72597665,-1.01131,0.97486055,-0.4259794
1.3381147,-0.0128496885,0.9998425,0.17452735
1.8925426,0.656429,1.5021684,0.055397615
0.05998309,-0.2883254,-1.2794988,1.6515757
