Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper,MAE Mean,MSE Mean,RMSE Mean,R² Mean,SMAPE Mean,NRMSE Mean,Cosine Sim. Mean,Explained Variance Mean,MAE Mode,MSE Mode,RMSE Mode,R² Mode,SMAPE Mode,NRMSE Mode,Cosine Sim. Mode,Explained Variance Mode
1286,"0.0,0.0,0.0,0.0,0.0,0.0,0.19295","0.11269201273412519,0.3242011247637534,0.07234111420978602,0.08316711527831543,0.03959685691769075,0.047299649416552916,0.29004373612338663","0.11382632042139626,0.3528291188145517,0.03447286389017491,0.044306395673182716,0.03311858670669027,0.01357061921152465,0.2703014393162883","0.06165284174200077,0.0881953042304363,0.05953045602602399,0.07615145906870979,0.0350906314288493,0.03820095951357281,0.10649529094503171","0.0002023343509083816,0.15727943847262163,5.134402735331273e-05,0.0003516923686686616,1.2752396701208942e-05,0.00016528087207369154,0.09312176608318877","0.21528572552043432,0.5103787699617157,0.1918768094953217,0.2480982961349362,0.10893461700963032,0.1245470648023378,0.5222481743484955",0.11091308706337293,0.020455460915438237,0.1430225888293113,-3.48708744877594,177.17213814363498,0.7412417145857024,0.621367347209708,-0.7885972167967856,0.0956393348619727,0.021122928714571533,0.14533729292432665,-3.633502452394496,176.19928757914468,0.7532381079260256,0.5830282664418237,-1.6270523772643566
435,"0.0,0.0,0.0,0.22710999999999998,0.0,0.0,0.0","0.07592946390944967,0.12805948867923383,0.052311370327823035,0.44102705268332393,0.05832820055494191,0.11258455814108481,0.05782176205363512","0.03145851765001617,0.17824362100139113,0.008550189562687951,0.45340164656290305,0.010272251774255593,0.04605982129701801,0.02355266437162353","0.05809505426415209,0.0591944044866976,0.04452416637215423,0.054510919781151676,0.05179381608265917,0.07999778545461637,0.05549471868322417","0.0001500143083183888,0.0012135210597889474,0.00010817659199784879,0.35019958172362575,0.00017413782876013606,0.00033163879836887566,5.9452312215266965e-05","0.18956166346561715,0.21562833515449584,0.14173607820597198,0.5494263758717355,0.16858646982157474,0.2641013813359808,0.17549223075097137",0.09985027090707033,0.012868902700492272,0.11344118608553187,-1.0375760739948592,180.5762691447898,0.4994988599600717,0.9024513815309044,0.5410192428939442,0.07491838745998505,0.012403313728508709,0.11137016534291717,-0.9638578268599829,180.92947512175357,0.4903798394738989,0.9232194359361761,-0.07517015161277008
83,"0.0,0.0,0.0,0.0,0.0,0.51141,0.0","0.030009703068249557,0.032362734969031505,0.045405681318267076,0.0679421289026297,0.10646047148214666,0.5038945263505324,0.09318049642027143","0.03941231260886916,0.03963264881635077,0.039527429716748885,0.0382955001910387,0.0716556252505407,0.5283562011203572,0.027717823225795604","0.021041642579955607,0.02260068137444457,0.0348533828515655,0.051827383446543314,0.06606779088606399,0.03308829224468818,0.06884526996062885","4.246331520779753e-05,0.0003329092861595864,0.00010036918879153002,0.00020858983812143398,0.0005704011290933431,0.44074708632155785,0.00027177549148725875","0.0669556355826067,0.07294410707294577,0.117933057900212,0.16958734518724658,0.2276462941149255,0.549965674794306,0.2265136174417849",0.054696669972866215,0.004099808130603269,0.0640297441085256,0.8719823265282469,171.64006247680703,0.12520237013066932,0.9479611718555763,0.9582090305175062,0.03902679156138585,0.0017632886227296801,0.04199153036898846,0.9449408118745669,171.89423108777717,0.08210932592047174,0.9790820801914443,0.9924997441247047
3024,"0.0,0.0,0.0,0.0,0.17558,0.0,0.0","0.05233958370180808,0.0858712235908318,0.06741407718191642,0.11059746119287028,0.39432552449902836,0.09347216981739861,0.07446672277634006","0.0505812501254642,0.0030641031813132464,0.0232187077613744,0.04980163181182801,0.3837643393231211,0.04472000289883811,0.026719777351870866","0.03409934086481518,0.061489822446842875,0.056357942588050415,0.07872772273073557,0.06406431794976022,0.06295714536235344,0.05925856489882625","0.00032785370331892195,9.515789964633442e-05,0.00018078445563345677,0.0002755617521282979,0.2793751046001727,0.00011446193039079942,0.00032829635115446","0.11526183011253498,0.20116523955794946,0.18683100013483528,0.2530260958250745,0.5253474704707908,0.20802585363082043,0.19119387950961722",0.10041525182288479,0.01271738558677699,0.11277138638314681,-2.368934593521523,182.39507703322857,0.6422792253283222,0.8891840572193007,0.3021897400748842,0.0580414017791157,0.007377386687742793,0.08589171489580816,-0.9543272516612178,182.06267203975952,0.48918848898398537,0.9729560830334185,-0.06190472215277043
3498,"0.0,0.0,0.48192,0.0,0.0,0.0,0.0","0.034371585417059675,0.03448682037925535,0.45638463041208743,0.05268614510090822,0.035038745335387124,0.05723553406885742,0.0468502396047701","0.001580997196127052,0.04435784377672564,0.4814263997632832,0.04355361578250315,0.023553208964003695,0.027080176547825803,0.044783824046047783","0.0235328630471683,0.02215294981172677,0.04191369608723933,0.04378191832509529,0.0248346470349739,0.040229795755785336,0.0351923679777773","2.488704648292292e-05,2.5157944690228848e-05,0.3709278925300892,6.355274666779311e-05,8.232220921108682e-05,0.00027675459608308126,0.00013698696243587434","0.07751237054307449,0.07629730968275926,0.5283208397956035,0.14259416597096264,0.08440000006904091,0.13453494824785556,0.11931994642047353",0.04088634849916435,0.0017853138050554739,0.04225297391966007,0.9372217084702912,172.20612486332922,0.08767632370447391,0.9727233680892505,0.9768977746617415,0.026486180935707128,0.001022994208018423,0.031984280639376944,0.9640277084945362,171.44321088111897,0.0663684442218147,0.9849011782104166,0.9884336944077078
1188,"0.0,0.0,0.0,0.0,0.0,0.38173,0.0","0.04877942779131769,0.15548621056281284,0.07554300549565807,0.10735930277551399,0.16635004525654676,0.3895939548474619,0.19825178726101408","0.03567257574947108,0.025805732281438093,0.043551337099260956,0.041075945693973444,0.037969069348046974,0.4093957373121589,0.2313751586158302","0.03725932433878674,0.11993230341587752,0.06558446860407942,0.08396413741967942,0.12897175981776285,0.07674815329307551,0.11965608800986023","4.27373159746587e-06,0.0009441031546050982,5.689013804562355e-05,0.0009117087894895601,0.0008196631370512204,0.24350098801267062,0.0009303944536812745","0.12564709490477985,0.3907647228888593,0.21448231572772544,0.2746360874976508,0.41045112637892145,0.5359794375510989,0.3992284008307074",0.10851910485576077,0.01583230147392539,0.12582647366085323,0.11268812043800858,171.7198685195034,0.3296216531602264,0.7603404323558202,0.7726892069354836,0.06330222230002566,0.008751989718521926,0.09355206955766358,0.5094999637394151,172.42771682381013,0.24507392543856543,0.8571906644408649,0.7340794884841148
2365,"0.07694000000000001,0.0,0.0,0.0,0.0,0.0,0.0","0.0740142212524003,0.19999466823191814,0.04796393145751216,0.04562858712004725,0.06312832163422616,0.034597348267861955,0.025935608889526715","0.06511760386639842,0.17118274958095633,0.0360442647226535,0.04891241716044106,0.031109954341734497,0.03903826292571912,0.015286474879289485","0.03992114063885945,0.05339113937016601,0.0370050552135848,0.033345133967351274,0.04695493250783454,0.023211441294313143,0.015441259727354875","0.002319865993136308,0.09491356310275836,4.283437553090285e-05,1.3604268981793384e-05,8.250889301365241e-05,0.0008133745781772391,0.0016278686996233115","0.14038020593434014,0.30459438960946494,0.12309256481389763,0.1109727795473608,0.15581376558215038,0.08239105446723416,0.0493286019144113",0.06002489204981316,0.007177678784842874,0.08472118262183828,-8.902035627945818,171.98233983471013,1.1011331247964422,0.3135708960098099,-4.068979770740715,0.050485217106342226,0.005122915417421067,0.07157454447931239,-6.067367111687597,173.8063585901232,0.930264420058648,0.3257470992907079,-3.00597792112959
2471,"0.0,0.0,0.0,0.0,0.40908999999999995,0.0,0.0","0.04267609507074096,0.05056223972715533,0.05576578320207898,0.07646123151187986,0.5041754089935973,0.11943429667442063,0.045132531582702924","0.029801831828212715,0.0072650602851105205,0.03793865590838694,0.029179482736743898,0.5473252947846841,0.06267447967312798,0.022299245391468166","0.03074419215749073,0.04098539122686926,0.04590543281488926,0.06375217064472408,0.03547160929906068,0.07703641387645561,0.03683923399457159","7.610277293285278e-05,4.8821940537419364e-06,0.00043484109566829956,1.1309572658172985e-05,0.4359119558932469,0.0005728135898872367,0.00023997721597291687","0.10314285414606562,0.13405127920119733,0.14946229240214118,0.20396411216772115,0.5497543422532165,0.2597775390357853,0.12177124431844569",0.06930251239465371,0.005525237615689241,0.0743319420955032,0.7303763010694884,174.40331014580744,0.18170070667946714,0.9463544599690772,0.9647479421550305,0.046770578658247755,0.003823722511102434,0.061836255636175404,0.8134078063539181,175.55813718575658,0.1511556274564898,0.9874595990557017,0.920154046947169
759,"0.0,0.0,0.0,0.0,0.0,0.0,0.45497","0.11125794585755568,0.36383063257971326,0.06622150031457807,0.07013852573122124,0.03861864071813418,0.03706198969500198,0.3370181165781608","0.08179884429012936,0.3474256281525519,0.024145069009014936,0.029396292793058235,0.032024416286437304,0.0072965336385070875,0.35741160569785624","0.06248503667546038,0.06663104131064566,0.05572704262506197,0.05746624569193155,0.029621557088472854,0.029376794181163842,0.0989107843191619","0.00011843176760289045,0.23191863407179375,8.708894080627246e-05,0.000365668646753541,0.0005614113919646704,0.0008614822324170192,0.14410322386535707","0.22281235904984928,0.4823607529201176,0.17311833218232894,0.18523878747014205,0.09757032684965768,0.09790814257469978,0.5201595368323901",0.11501158833114908,0.024404770987041118,0.15622026432905917,0.0371601768476334,175.6837537242517,0.34336387966032744,0.6479896039107884,0.2980027337317783,0.0885207397816918,0.01991988390746555,0.1411378188419587,0.21410213155189373,174.85969625315744,0.31021346207872763,0.7041112286796299,0.3592119186171171
596,"0.0,0.0,0.0,0.4907,0.0,0.0,0.0","0.04716424683026758,0.032152069834370516,0.03166055997121556,0.5050518180139798,0.03553327733670876,0.05057479276443923,0.034160615782431375","0.04592912843288004,0.0112191633006641,0.042353980308665766,0.5167865399178635,0.04760553902986124,0.018598974946851716,0.04391104244387418","0.03510918959108836,0.023731884273271216,0.020265217505188476,0.028465906756766128,0.024879195760264317,0.03587166220616073,0.024773119812262788","0.00023637082219819157,0.00015069115454755701,0.00020254710661117816,0.45116971621026164,8.700622647468773e-05,0.00014336640252354875,0.00017577046134960973","0.1169300568620504,0.08002094246976146,0.06755474067076661,0.5492327341223339,0.08589243968964853,0.12141166045388116,0.08190971448786463",0.03508534007620182,0.0013505655205409014,0.036750041095771596,0.9541933668381865,171.84037277890633,0.07489309373501446,0.9823506867584224,0.9959440988697565,0.03367205262580865,0.0013214443629355813,0.03635167620530835,0.9551810584113728,172.16836266389623,0.07408126391951977,0.9843322246607104,0.9936359770363934
